,Promoter,Threshold,Activation,Runs,S5PInt,S2PInt,Contact,DistActivation
320,1,40,1,,11.878,0.0,11.2,
321,1,40,1,,82.6775,0.0,62.9,
322,1,40,1,,2.0965,0.0,0.6,
323,1,40,1,,2.4375,0.0,0.0,
324,1,40,1,,50.722,8.108108108108109,42.55,112.45151013782997
325,1,40,1,,2.689,0.0,0.3,
326,1,40,1,,1.855,0.0,0.0,
327,1,40,1,,2.069,0.0,0.0,
328,1,40,1,,1.2245,0.0,0.0,
329,1,40,1,,111.067,0.0,90.05,
330,1,40,1,,2.3215,0.0,0.0,
331,1,40,1,,1.845,0.0,0.0,
332,1,40,1,,2.7655,0.0,0.05,
333,1,40,1,,76.9695,2.7027027027027026,67.35,113.37121957981441
334,1,40,1,,2.3325,0.0,0.0,
335,1,40,1,,74.9265,0.0,72.4,
336,1,40,1,,34.1915,2.7027027027027026,27.95,121.05611104657159
337,1,40,1,,3.163,0.0,0.0,
338,1,40,1,,2.628,0.0,0.0,
339,1,40,1,,2.719,0.0,0.0,
340,1,40,1,,2.3435,0.0,0.0,
341,1,40,1,,61.6205,2.7027027027027026,53.7,123.67072683950217
342,1,40,1,,2.711,0.0,0.15,
343,1,40,1,,101.5885,2.7027027027027026,86.9,123.23867625522132
344,1,40,1,,2.0395,0.0,0.0,
345,1,40,1,,1.787,0.0,0.0,
346,1,40,1,,1.94,0.0,0.0,
347,1,40,1,,4.188,0.0,1.15,
348,1,40,1,,109.303,5.405405405405405,93.1,109.5693577591752
349,1,40,1,,3.0135,0.0,0.0,
350,1,40,1,,1.9455,0.0,0.0,
351,1,40,1,,91.473,2.7027027027027026,79.85,125.44701312257229
352,1,40,1,,17.563,0.0,12.65,
353,1,40,1,,1.8745,0.0,0.0,
354,1,40,1,,95.17,0.0,74.45,
355,1,40,1,,3.3085,0.0,0.8,
356,1,40,1,,11.395,2.7027027027027026,8.25,119.79479072380566
357,1,40,1,,86.242,5.405405405405405,80.8,130.7709882497511
358,1,40,1,,1.5345,0.0,0.0,
359,1,40,1,,1.6205,0.0,0.0,
360,1,40,1,,1.885,0.0,0.0,
361,1,40,1,,1.4735,0.0,0.0,
362,1,40,1,,2.6415,0.0,0.0,
363,1,40,1,,1.823,0.0,0.05,
364,1,40,1,,81.1445,5.405405405405405,72.2,135.9003728617007
365,1,40,1,,18.4,0.0,15.3,
366,1,40,1,,2.305,0.0,0.0,
367,1,40,1,,2.67,0.0,0.05,
368,1,40,1,,99.788,5.405405405405405,76.55,114.55251280822694
369,1,40,1,,6.902,0.0,5.55,
370,1,40,1,,2.685,0.0,0.0,
371,1,40,1,,21.4175,2.7027027027027026,21.9,132.59587817278685
372,1,40,1,,2.7835,0.0,0.0,
373,1,40,1,,2.553,0.0,0.3,
374,1,40,1,,14.892,2.7027027027027026,11.25,123.99994794068843
375,1,40,1,,2.0215,0.0,0.0,
376,1,40,1,,17.2605,0.0,16.6,
377,1,40,1,,2.057,0.0,0.0,
378,1,40,1,,62.3005,2.7027027027027026,62.65,129.38244019320103
379,1,40,1,,2.3375,0.0,0.0,
380,1,40,1,,67.0555,5.405405405405405,64.1,125.91960599963042
381,1,40,1,,47.0505,0.0,35.75,
382,1,40,1,,2.3765,0.0,0.0,
383,1,40,1,,1.743,0.0,0.0,
384,1,40,1,,2.4805,0.0,0.0,
385,1,40,1,,2.1605,0.0,0.0,
386,1,40,1,,2.387,0.0,0.0,
387,1,40,1,,2.1385,0.0,0.0,
388,1,40,1,,2.0875,0.0,0.0,
389,1,40,1,,1.6735,0.0,0.0,
390,1,40,1,,1.704,0.0,0.0,
391,1,40,1,,23.936,0.0,18.2,
392,1,40,1,,17.022,2.7027027027027026,9.75,123.3219212760625
393,1,40,1,,1.812,0.0,0.0,
394,1,40,1,,2.269,0.0,0.0,
395,1,40,1,,2.8535,0.0,0.0,
396,1,40,1,,2.3155,0.0,0.0,
397,1,40,1,,2.813,0.0,0.05,
398,1,40,1,,33.536,2.7027027027027026,28.8,138.1854835687968
399,1,40,1,,51.268,2.7027027027027026,45.75,148.41903665302155
400,1,50,1,,2.4665,0.0,0.0,
401,1,50,1,,2.539,0.0,0.0,
402,1,50,1,,78.116,2.7027027027027026,56.75,130.95073728939283
403,1,50,1,,2.0485,0.0,0.0,
404,1,50,1,,1.567,0.0,0.0,
405,1,50,1,,1.8005,0.0,0.0,
406,1,50,1,,1.468,0.0,0.0,
407,1,50,1,,1.536,0.0,0.0,
408,1,50,1,,41.6545,0.0,32.1,
409,1,50,1,,2.0025,0.0,0.0,
410,1,50,1,,88.789,8.108108108108109,74.15,114.8348997946959
411,1,50,1,,46.1735,2.7027027027027026,35.5,137.5949513384252
412,1,50,1,,2.497,0.0,0.1,
413,1,50,1,,2.4205,0.0,0.15,
414,1,50,1,,101.967,2.7027027027027026,88.9,106.2322322972627
415,1,50,1,,1.826,0.0,0.0,
416,1,50,1,,2.367,0.0,0.0,
417,1,50,1,,11.1455,2.7027027027027026,10.45,145.88609753470314
418,1,50,1,,1.487,0.0,0.0,
419,1,50,1,,8.5155,0.0,6.1,
420,1,50,1,,2.1835,0.0,0.0,
421,1,50,1,,2.318,0.0,0.0,
422,1,50,1,,1.568,0.0,0.0,
423,1,50,1,,105.8265,2.7027027027027026,79.0,116.63012943650986
424,1,50,1,,2.562,0.0,0.0,
425,1,50,1,,25.1685,2.7027027027027026,19.45,111.62872430911644
426,1,50,1,,43.581,2.7027027027027026,41.85,130.75431464183913
427,1,50,1,,89.1935,2.7027027027027026,73.3,113.7052639130903
428,1,50,1,,62.2325,5.405405405405405,60.75,131.15639047840222
429,1,50,1,,10.9225,0.0,8.75,
430,1,50,1,,40.9985,2.7027027027027026,41.9,133.132156576297
431,1,50,1,,2.1325,0.0,0.0,
432,1,50,1,,2.1375,0.0,0.0,
433,1,50,1,,3.0105,0.0,0.35,
434,1,50,1,,2.489,0.0,0.0,
435,1,50,1,,2.0405,0.0,0.0,
436,1,50,1,,34.637,5.405405405405405,28.15,131.16729814798794
437,1,50,1,,1.9255,0.0,0.0,
438,1,50,1,,77.802,2.7027027027027026,67.85,147.47453032289587
439,1,50,1,,2.561,0.0,0.0,
440,1,50,1,,2.224,0.0,0.3,
441,1,50,1,,94.408,8.108108108108109,72.0,124.66515286826866
442,1,50,1,,56.5085,8.108108108108109,60.9,130.77513937993925
443,1,50,1,,17.2125,5.405405405405405,17.05,136.34878118830662
444,1,50,1,,41.452,0.0,31.2,
445,1,50,1,,2.4875,0.0,0.0,
446,1,50,1,,2.278,0.0,0.0,
447,1,50,1,,62.6935,2.7027027027027026,52.85,116.67038701602397
448,1,50,1,,1.752,0.0,0.0,
449,1,50,1,,5.069,0.0,0.6,
450,1,50,1,,2.365,0.0,0.0,
451,1,50,1,,2.17,0.0,0.0,
452,1,50,1,,64.5105,2.7027027027027026,51.1,141.2873698747505
453,1,50,1,,31.3,2.7027027027027026,28.1,129.4323539554635
454,1,50,1,,43.5485,5.405405405405405,42.4,127.32046674881877
455,1,50,1,,65.897,5.405405405405405,58.25,125.14388361748985
456,1,50,1,,1.509,0.0,0.0,
457,1,50,1,,2.7125,0.0,0.0,
458,1,50,1,,94.104,2.7027027027027026,81.35,112.30280313011765
